areas,bathrooms,bedrooms,r$_pmo,coord,class,class_distance
45.0,1.0,1.0,900,"(-22.9258587, -43.3152522)",0.0,"[(47.727669430063074, (33.61052208605164, 35.19797720322859))]"
63.0,1.0,1.0,1700,"(-22.988001899999997, -43.3660133)",0.0,"[(34.370930310833614, (23.89699524276817, 25.68251354986233))]"
100.0,,2.0,7000,"(-22.9832693, -43.204855)",0.0,"[(52.92137908201368, (38.59622612950687, 37.50755575987088))]"
53.0,2.0,2.0,2200,"(-22.876306500000002, -43.2680946)",0.0,"[(61.94234998015697, (42.89424685662345, 46.46872055964299))]"
117.0,2.0,3.0,7200,"(-22.9607745, -43.2028991)",0.0,"[(59.719600119183575, (41.08907815123448, 45.08297342565761))]"
107.0,3.0,3.0,4300,"(-22.711015600000003, -43.464103)",0.0,
42.0,1.0,1.0,590,"(-22.8912676, -43.3031848)",0.0,"[(54.21743362565077, (37.306819911371896, 40.92573202370148))]"
26.0,1.0,1.0,1050,"(-22.9218044, -43.180240399999995)",1.0,0
124.0,4.0,3.0,2810,"(-23.0111148, -43.46874260000001)",0.0,"[(10.756370277131383, (7.478556065182845, 8.03733337711519))]"
82.0,3.0,3.0,1700,"(-23.0160373, -43.45105086987847)",0.0,
91.0,2.0,3.0,5000,"(-22.9842762, -43.219898799999996)",0.0,"[(53.21554243087599, (38.59622612950687, 37.96947147119934))]"
128.0,2.0,3.0,5900,"(-22.9766415, -43.188297)",0.0,"[(58.727829556514855, (41.003117736692154, 43.69722629167224))]"
65.0,1.0,1.0,2200,"(-22.9173799, -43.18917929999999)",0.0,"[(67.38185978202993, (46.848425925570695, 50.34881253480205))]"
70.0,1.0,2.0,4200,"(-22.9880907, -43.2278097)",0.0,"[(50.39280850295063, (35.75953244960993, 36.86087376401104))]"
160.0,2.0,2.0,7500,"(-22.9646379, -43.20259)",0.0,"[(59.28628358231832, (40.831196907607485, 44.71344085659484))]"
60.0,1.0,2.0,2000,"(-22.951239800000003, -43.1752885)",0.0,"[(64.66764960779048, (44.35557390384308, 48.96306540081667))]"
70.0,2.0,1.0,1800,"(-22.924047, -43.23641660000001)",0.0,"[(58.232763224469906, (40.48735524943816, 43.51246000714085))]"
69.0,2.0,2.0,1850,"(-23.0063466, -43.4358159)",0.0,"[(18.23501274789193, (13.667705912230717, 12.471724205868398))]"
50.0,1.0,2.0,900,"(-22.8355116, -43.3182064)",0.0,"[(60.833651580002176, (42.80828644208111, 44.89820714112623))]"
136.0,3.0,3.0,2000,"(-22.9258655, -43.2584503)",0.0,"[(56.007443768958936, (38.854107373133864, 41.94194658862409))]"
150.0,2.0,4.0,4000,"(-22.9662234, -43.382768799999994)",0.0,"[(31.92718061388498, (23.123351511887186, 22.818636139625884))]"
70.0,2.0,2.0,1300,"(-22.9351193, -43.24199160000001)",0.0,"[(57.18188689999445, (39.713711518557176, 42.77339486901532))]"
60.0,,2.0,1300,"(-22.912072100000003, -43.2718329)",0.0,"[(56.192795968424996, (39.02602820221853, 42.03432973088978))]"
100.0,1.0,3.0,1600,"(-22.9306672, -43.242268100000004)",0.0,"[(57.36730814470071, (39.88563234764184, 42.86577801128101))]"
606.0,6.0,4.0,60000,"(-22.9840518, -43.221537899999994)",0.0,"[(51.57433000782678, (36.7910574241179, 37.50755575987088))]"
57.0,1.0,1.0,1500,"(-22.3716194, -41.78448270000001)",0.0,
